sep=\t
Module Resource Usage Distribution Estimates
Generated at: Dec 30, 2025 01:00:07

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	       FFs	      ADDs	      LUTs	      RAMs	 DSP/MULTs
PWM_IO_Expander:PWM_IO_Expander                             	   348(0)	   127(0)	   539(0)	     0(0)	     0(0)	
 +main:Main                                                 	   348(3)	   127(0)	   539(5)	     0(0)	     0(0)	
  +spislave:SPI_Slave(TXEnable=0)                           	    13(0)	     0(0)	     4(0)	     0(0)	     0(0)	
   +genblk1.RXSPIShiftRegister:RX_SPI_Shift_Register        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +Counter:SCLK_Counter                                    	     5(5)	     0(0)	     4(4)	     0(0)	     0(0)	
  +AddressPtr:AddressPointer                                	     8(8)	     7(7)	     8(8)	     0(0)	     0(0)	
  +FirstRegister:PWMRegister                                	    81(0)	    30(0)	   131(0)	     0(0)	     0(0)	
   +SwitchValueUpper:AddressableRegister(AddressValue=0)    	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +SwitchValueLower:AddressableRegister(AddressValue=1)    	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerCountUpper:AddressableRegister(AddressValue=2)     	     8(0)	     0(0)	     3(3)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerCountLower:AddressableRegister(AddressValue=3)     	     8(0)	     0(0)	     3(3)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerPrescalerUpper:AddressableRegister(AddressValue=4) 	     8(0)	     0(0)	     3(3)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerPrescalerLower:AddressableRegister(AddressValue=5) 	     8(0)	     0(0)	     4(4)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +PWMTimer:Timer                                          	   33(33)	   30(30)	 114(114)	     0(0)	     0(0)	
  +SecondRegister:PWMRegister(StartAddress=6)               	    81(0)	    30(0)	   130(0)	     0(0)	     0(0)	
   +SwitchValueUpper:AddressableRegister(AddressValue=6)    	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +SwitchValueLower:AddressableRegister(AddressValue=7)    	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
